id,n,k,uplo,trans,diag,incx,csv_ms,a100_us
ctbmv-base-000,512,8,UPPER,N,NON_UNIT,1,0.007996,13.434
ctbmv-base-001,1024,16,UPPER,N,NON_UNIT,1,0.013209,16.200
ctbmv-base-002,2048,32,LOWER,T,NON_UNIT,1,0.015817,19.688
ctbmv-base-003,4096,64,LOWER,C,UNIT,1,0.022003,27.727
ctbmv-perf-004,1,0,UPPER,N,NON_UNIT,1,0.003172,5.117
ctbmv-perf-005,2,1,UPPER,N,NON_UNIT,1,0.003324,5.102
ctbmv-perf-006,4,3,UPPER,N,NON_UNIT,1,0.003365,5.068
ctbmv-perf-007,8,4,UPPER,N,NON_UNIT,1,0.003629,5.089
ctbmv-perf-008,16,4,UPPER,N,NON_UNIT,1,0.003642,5.191
ctbmv-perf-009,32,4,UPPER,N,NON_UNIT,1,0.003686,5.063
ctbmv-perf-010,64,4,UPPER,N,NON_UNIT,1,0.003675,5.046
ctbmv-perf-011,128,4,UPPER,N,NON_UNIT,1,0.003759,5.086
ctbmv-perf-012,256,4,UPPER,N,NON_UNIT,1,0.003835,5.041
ctbmv-perf-013,512,4,UPPER,N,NON_UNIT,1,0.007262,13.670
ctbmv-perf-014,1000,9,UPPER,N,NON_UNIT,1,0.010088,13.657
ctbmv-perf-015,1037,10,LOWER,T,UNIT,1,0.010947,13.737
ctbmv-perf-016,1075,10,UPPER,C,NON_UNIT,1,0.010981,14.068
ctbmv-perf-017,1115,10,LOWER,N,UNIT,1,0.011546,14.994
ctbmv-perf-018,1156,10,UPPER,T,NON_UNIT,1,0.011486,14.565
ctbmv-perf-019,1198,10,LOWER,C,UNIT,1,0.010852,13.747
ctbmv-perf-020,1242,10,UPPER,N,NON_UNIT,1,0.011902,14.621
ctbmv-perf-021,1288,10,LOWER,T,UNIT,1,0.011114,14.074
ctbmv-perf-022,1335,10,UPPER,C,NON_UNIT,1,0.011258,14.265
ctbmv-perf-023,1385,10,LOWER,N,UNIT,1,0.011955,15.113
ctbmv-perf-024,1436,10,UPPER,T,NON_UNIT,1,0.011746,14.785
ctbmv-perf-025,1488,10,LOWER,C,UNIT,1,0.011095,14.032
ctbmv-perf-026,1543,10,UPPER,N,NON_UNIT,1,0.012124,15.147
ctbmv-perf-027,1600,10,LOWER,T,UNIT,1,0.011718,14.555
ctbmv-perf-028,1659,10,UPPER,C,NON_UNIT,1,0.011991,15.043
ctbmv-perf-029,1720,10,LOWER,N,UNIT,1,0.012904,16.105
ctbmv-perf-030,1783,10,UPPER,T,NON_UNIT,1,0.012497,15.627
ctbmv-perf-031,1849,10,LOWER,C,UNIT,1,0.011881,14.912
ctbmv-perf-032,1917,10,UPPER,N,NON_UNIT,1,0.012661,15.870
ctbmv-perf-033,1988,10,LOWER,T,UNIT,1,0.012176,15.217
ctbmv-perf-034,2061,11,UPPER,C,NON_UNIT,1,0.012472,15.719
ctbmv-perf-035,2137,11,LOWER,N,UNIT,1,0.013180,16.578
ctbmv-perf-036,2215,11,UPPER,T,NON_UNIT,1,0.013081,16.332
ctbmv-perf-037,2297,11,LOWER,C,UNIT,1,0.012594,16.104
ctbmv-perf-038,2381,11,UPPER,N,NON_UNIT,1,0.013165,16.989
ctbmv-perf-039,2469,11,LOWER,T,UNIT,1,0.013059,16.510
ctbmv-perf-040,2560,11,UPPER,C,NON_UNIT,1,0.012831,16.123
ctbmv-perf-041,2654,11,LOWER,N,UNIT,1,0.013950,17.465
ctbmv-perf-042,2752,11,UPPER,T,NON_UNIT,1,0.013836,17.195
ctbmv-perf-043,2853,11,LOWER,C,UNIT,1,0.013477,17.020
ctbmv-perf-044,2958,11,UPPER,N,NON_UNIT,1,0.013901,17.673
ctbmv-perf-045,3067,11,LOWER,T,UNIT,1,0.013831,17.509
ctbmv-perf-046,3180,11,UPPER,C,NON_UNIT,1,0.014094,17.585
ctbmv-perf-047,3297,11,LOWER,N,UNIT,1,0.014840,18.832
ctbmv-perf-048,3419,11,UPPER,T,NON_UNIT,1,0.014648,18.481
ctbmv-perf-049,3544,11,LOWER,C,UNIT,1,0.014354,18.335
ctbmv-perf-050,3675,11,UPPER,N,NON_UNIT,1,0.015106,19.384
ctbmv-perf-051,3810,11,LOWER,T,UNIT,1,0.015295,19.047
ctbmv-perf-052,3951,11,UPPER,C,NON_UNIT,1,0.015226,19.050
ctbmv-perf-053,4096,12,LOWER,N,UNIT,1,0.016668,21.130
ctbmv-perf-054,1024,1,LOWER,N,NON_UNIT,1,0.007622,9.314
ctbmv-perf-055,1024,8,LOWER,N,NON_UNIT,1,0.009799,11.983
ctbmv-perf-056,1024,32,LOWER,N,NON_UNIT,1,0.013607,17.141
ctbmv-perf-057,1024,128,LOWER,N,NON_UNIT,1,0.018384,20.569
ctbmv-perf-058,1024,512,LOWER,N,NON_UNIT,1,0.033158,37.976
