id,n,k,uplo,trans,diag,incx,a100_us,npu_us
ctbmv-base-000,512,8,UPPER,N,NON_UNIT,1,13.434,61.469
ctbmv-base-001,1024,16,UPPER,N,NON_UNIT,1,16.200,69.282
ctbmv-base-002,2048,32,LOWER,T,NON_UNIT,1,19.688,98.982
ctbmv-base-003,4096,64,LOWER,C,UNIT,1,27.727,211.888
ctbmv-perf-004,1,0,UPPER,N,NON_UNIT,1,5.117,22.995
ctbmv-perf-005,2,1,UPPER,N,NON_UNIT,1,5.102,46.876
ctbmv-perf-006,4,3,UPPER,N,NON_UNIT,1,5.068,48.384
ctbmv-perf-007,8,4,UPPER,N,NON_UNIT,1,5.089,48.902
ctbmv-perf-008,16,4,UPPER,N,NON_UNIT,1,5.191,49.839
ctbmv-perf-009,32,4,UPPER,N,NON_UNIT,1,5.063,50.453
ctbmv-perf-010,64,4,UPPER,N,NON_UNIT,1,5.046,50.739
ctbmv-perf-011,128,4,UPPER,N,NON_UNIT,1,5.086,52.866
ctbmv-perf-012,256,4,UPPER,N,NON_UNIT,1,5.041,55.499
ctbmv-perf-013,512,4,UPPER,N,NON_UNIT,1,13.670,59.348
ctbmv-perf-014,1000,9,UPPER,N,NON_UNIT,1,13.657,67.250
ctbmv-perf-015,1037,10,LOWER,T,UNIT,1,13.737,80.576
ctbmv-perf-016,1075,10,UPPER,C,NON_UNIT,1,14.068,82.192
ctbmv-perf-017,1115,10,LOWER,N,UNIT,1,14.994,81.865
ctbmv-perf-018,1156,10,UPPER,T,NON_UNIT,1,14.565,83.099
ctbmv-perf-019,1198,10,LOWER,C,UNIT,1,13.747,82.792
ctbmv-perf-020,1242,10,UPPER,N,NON_UNIT,1,14.621,84.116
ctbmv-perf-021,1288,10,LOWER,T,UNIT,1,14.074,83.240
ctbmv-perf-022,1335,10,UPPER,C,NON_UNIT,1,14.265,85.456
ctbmv-perf-023,1385,10,LOWER,N,UNIT,1,15.113,84.333
ctbmv-perf-024,1436,10,UPPER,T,NON_UNIT,1,14.785,86.080
ctbmv-perf-025,1488,10,LOWER,C,UNIT,1,14.032,85.414
ctbmv-perf-026,1543,10,UPPER,N,NON_UNIT,1,15.147,87.751
ctbmv-perf-027,1600,10,LOWER,T,UNIT,1,14.555,86.463
ctbmv-perf-028,1659,10,UPPER,C,NON_UNIT,1,15.043,88.853
ctbmv-perf-029,1720,10,LOWER,N,UNIT,1,16.105,87.907
ctbmv-perf-030,1783,10,UPPER,T,NON_UNIT,1,15.627,90.135
ctbmv-perf-031,1849,10,LOWER,C,UNIT,1,14.912,89.701
ctbmv-perf-032,1917,10,UPPER,N,NON_UNIT,1,15.870,91.653
ctbmv-perf-033,1988,10,LOWER,T,UNIT,1,15.217,90.964
ctbmv-perf-034,2061,11,UPPER,C,NON_UNIT,1,15.719,107.776
ctbmv-perf-035,2137,11,LOWER,N,UNIT,1,16.578,107.648
ctbmv-perf-036,2215,11,UPPER,T,NON_UNIT,1,16.332,109.672
ctbmv-perf-037,2297,11,LOWER,C,UNIT,1,16.104,108.888
ctbmv-perf-038,2381,11,UPPER,N,NON_UNIT,1,16.989,111.028
ctbmv-perf-039,2469,11,LOWER,T,UNIT,1,16.510,110.436
ctbmv-perf-040,2560,11,UPPER,C,NON_UNIT,1,16.123,113.110
ctbmv-perf-041,2654,11,LOWER,N,UNIT,1,17.465,112.696
ctbmv-perf-042,2752,11,UPPER,T,NON_UNIT,1,17.195,114.450
ctbmv-perf-043,2853,11,LOWER,C,UNIT,1,17.020,114.413
ctbmv-perf-044,2958,11,UPPER,N,NON_UNIT,1,17.673,116.563
ctbmv-perf-045,3067,11,LOWER,T,UNIT,1,17.509,116.511
ctbmv-perf-046,3180,11,UPPER,C,NON_UNIT,1,17.585,133.368
ctbmv-perf-047,3297,11,LOWER,N,UNIT,1,18.832,132.913
ctbmv-perf-048,3419,11,UPPER,T,NON_UNIT,1,18.481,134.998
ctbmv-perf-049,3544,11,LOWER,C,UNIT,1,18.335,134.502
ctbmv-perf-050,3675,11,UPPER,N,NON_UNIT,1,19.384,137.422
ctbmv-perf-051,3810,11,LOWER,T,UNIT,1,19.047,136.909
ctbmv-perf-052,3951,11,UPPER,C,NON_UNIT,1,19.050,140.096
ctbmv-perf-053,4096,12,LOWER,N,UNIT,1,21.130,140.750
ctbmv-perf-054,1024,1,LOWER,N,NON_UNIT,1,9.314,69.240
ctbmv-perf-055,1024,8,LOWER,N,NON_UNIT,1,11.983,67.888
ctbmv-perf-056,1024,32,LOWER,N,NON_UNIT,1,17.141,75.931
ctbmv-perf-057,1024,128,LOWER,N,NON_UNIT,1,20.569,140.661
ctbmv-perf-058,1024,512,LOWER,N,NON_UNIT,1,37.976,306.975
ctbmv-perf-059,4096,1,LOWER,N,NON_UNIT,1,13.988,177.737
ctbmv-perf-060,4096,8,LOWER,N,NON_UNIT,1,16.727,146.257
ctbmv-perf-061,4096,32,LOWER,N,NON_UNIT,1,21.503,140.700
ctbmv-perf-062,4096,128,LOWER,N,NON_UNIT,1,26.879,358.588
ctbmv-perf-063,4096,512,LOWER,N,NON_UNIT,1,43.781,998.177
ctbmv-perf-064,2048,16,UPPER,N,NON_UNIT,1,16.807,93.230
ctbmv-perf-065,2048,16,UPPER,N,UNIT,1,21.325,92.649
ctbmv-perf-066,2048,16,UPPER,T,NON_UNIT,1,15.893,93.202
ctbmv-perf-067,2048,16,UPPER,T,UNIT,1,15.735,92.561
ctbmv-perf-068,2048,16,UPPER,C,NON_UNIT,1,15.920,93.434
ctbmv-perf-069,2048,16,UPPER,C,UNIT,1,15.773,92.810
ctbmv-perf-070,2048,16,LOWER,N,NON_UNIT,1,16.774,93.150
ctbmv-perf-071,2048,16,LOWER,N,UNIT,1,18.134,92.556
ctbmv-perf-072,2048,16,LOWER,T,NON_UNIT,1,16.007,93.395
ctbmv-perf-073,2048,16,LOWER,T,UNIT,1,15.997,92.618
ctbmv-perf-074,2048,16,LOWER,C,NON_UNIT,1,15.931,93.245
ctbmv-perf-075,2048,16,LOWER,C,UNIT,1,15.927,92.786
ctbmv-perf-076,237,156,LOWER,C,NON_UNIT,1,16.084,129.733
ctbmv-perf-077,958,501,LOWER,C,NON_UNIT,1,46.481,304.529
ctbmv-perf-078,754,490,LOWER,T,UNIT,1,45.735,294.555
ctbmv-perf-079,1701,219,LOWER,N,UNIT,1,32.175,280.291
ctbmv-perf-080,580,262,UPPER,C,UNIT,1,29.436,186.414
ctbmv-perf-081,429,398,UPPER,T,UNIT,1,48.693,232.540
ctbmv-perf-082,1292,165,UPPER,T,NON_UNIT,1,26.502,237.910
ctbmv-perf-083,204,109,UPPER,C,NON_UNIT,1,11.387,109.817
ctbmv-perf-084,1366,206,LOWER,T,UNIT,1,27.626,273.641
ctbmv-perf-085,3023,199,UPPER,N,UNIT,1,88.180,342.313
ctbmv-perf-086,1800,196,UPPER,N,NON_UNIT,1,28.036,247.627
ctbmv-perf-087,2263,83,UPPER,C,NON_UNIT,1,24.674,222.373
