n,k,us
512,0,25.35
512,1,59.31
512,2,63.53
512,4,62.85
512,8,63.84
512,16,66.79
512,32,76.53
512,64,98.41
512,128,141.93
1024,0,26.07
1024,1,72.37
1024,2,71.94
1024,4,70.06
1024,8,70.88
1024,16,72.21
1024,32,80.19
1024,64,107.01
1024,128,145.08
2048,0,35.26
2048,1,95.56
2048,2,105.18
2048,4,101.71
2048,8,98.35
2048,16,97.72
2048,32,102.10
2048,64,145.39
2048,128,222.39
4096,0,53.74
4096,1,187.59
4096,2,175.09
4096,4,160.70
4096,8,152.53
4096,16,146.57
4096,32,144.06
4096,64,219.74
4096,128,375.25
